55,"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 20 MM X 1/2"" - LIGACAO PREDIAL DE AGUA (NTS 179)",2.04,UN
61,"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 20 MM X 3/4"" - LIGACAO PREDIAL DE AGUA (NTS 179)",1.93,UN
62,"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 32 MM X 1"" - LIGACAO PREDIAL DE AGUA (NTS 179)",3.99,UN
10963,"PERFIL ""I"" DE ACO LAMINADO, ""I"" 203 X 34,3",126.16,M
7304,TINTA EPOXI,44.86,L
26032,".!EM PROCESSO DE DESATIVACAO! TINTA RETRORREFLETIVAS A BASE DE RESINA ACRILICA COM MICROESFERA DE VIDRO, DB-800 COR BRANCA N 9,5.",27.7,L
159,!EM PROCESSO DE DESATIVACAO! ADUBO BOVINO,262.92,M3
20006,!EM PROCESSO DE DESATIVACAO! ALIZAR / GUARNICAO 5 X 2CM MADEIRA CEDRO/IMBUIA/JEQUITIBA OU SIMILAR,3.47,M
3332,"!EM PROCESSO DE DESATIVACAO! APARELHO DE OXI-ACETILENO PARA SOLDA E CORTE, SEM O GAS (PPU) (LOCACAO)",1.46,H
4757,!EM PROCESSO DE DESATIVACAO! ASFALTADOR,16.36,H
518,!EM PROCESSO DE DESATIVACAO! ASSENTAMENTO DE PISO VINILICO EM PLACAS - SOMENTE MAO DE OBRA.,16.59,M2
3426,!EM PROCESSO DE DESATIVACAO! BANDEIRA P/ PORTA/ JAN MAD REGIONAL 2A P/ VIDRO,98.85,M2
3425,"!EM PROCESSO DE DESATIVACAO! BANDEIRA P/ PORTA/JANELA EM MADEIRA IMBUIA/CEDRO ARANA/CEDRO ROSA OU EQUIVALENTE DA REGIAO, TIPO FIXA PARA VIDRO (SEM VIDRO) (SEM GUARNICAO) (SEM ACABAMENTO)",151.57,M2
641,"!EM PROCESSO DE DESATIVACAO! BATE ESTACA-MARTELO ATE 3,0T DIESEL 160 HP TORRE 15 M MAGAN IM 1520 BS",88.38,H
10532,!EM PROCESSO DE DESATIVACAO! BETONEIRA DE 320 A 600 LITROS COM CARREGADOR E MOTOR ELETRICO TRIFASICO (LOCACAO),1.04,H
