10.10.01,"LIMPEZA MECANIZADA GERAL, INCLUSIVE REMOÇÃO DA COBERTURA VEGETAL - TRONCOS COM DIÂMETRO ATÉ 10CM - SEM TRANSPORTE",1.01,M2
10.10.02,"DESTOCAMENTO, INCLUSIVE REMOÇÃO DAS RAÍZES - DIÂMETROS DE 10,01 À 30CM",33.46,UN
10.10.03,"DESTOCAMENTO, INCLUSIVE REMOÇÃO DAS RAÍZES - DIÂMETRO 30,01 À 50 CM",93.01,UN
10.10.04,"DESTOCAMENTO, INCLUSIVE REMOÇÃO DAS RAÍZES - DIÂMETROS MAIORES QUE 50 CM",110.81,UN
10.10.05,"CARGA MECANIZADA E REMOÇÃO DE ENTULHO, INCLUSIVE TRANSPORTE ATÉ 1KM",5.95,M3
10.10.06,"CARGA MANUAL E REMOÇÃO DE ENTULHO, INCLUSIVE TRANSPORTE ATÉ 1 KM",23.71,M3
10.10.07,"REMOÇÃO DE ENTULHO COM CAÇAMBA METÁLICA, INCLUSIVE CARGA MANUAL E DESCARGA EM BOTA-FORA",79.92,M3
10.10.08,LIMPEZA MANUAL GERAL INCLUSIVE REMOÇÃO DE COBERTURA VEGETAL - TRONCO ATÉ 10CM - SEM TRANSPORTE,4.15,M2
10.10.09,"DESTOCAMENTO MANUAL, INCLUSIVE REMOÇÃO DE RAÍZES - DIÂMETRO 10,01 À 30 CM",49.81,UN
10.11.00,"TRANSPORTE DE ENTULHO POR CAMINHÃO BASCULANTE, A PARTIR DE 1KM",0.94,M3XKM
10.12.00,"CORTE, RECORTE E REMOÇÃO DE ÁRVORES INCLUSIVE RAIZES DIÂM. > 5 E < 15CM",149.26,UN
10.12.01,"CORTE, RECORTE E REMOÇÃO DE ÁRVORES INCLUSIVE RAIZES DIÂM. > 15 E < 30CM",337.41,UN
10.12.02,"CORTE, RECORTE E REMOÇÃO DE ÁRVORES INCLUSIVE RAIZES DIÂM. > 30 E < 60CM",421.76,UN
10.12.03,"CORTE, RECORTE E REMOÇÃO DE ÁRVORES INCLUSIVE RAIZES DIÂM. > 60 E < 90CM",506.12,UN
10.12.04,"CORTE, RECORTE E REMOÇÃO DE ÁRVORES INCLUSIVE RAIZES DIÂM. > 90CM",590.47,UN
10.20.01,CORTE,33.2,M3
10.20.02,CORTE E ESPALHAMENTO DENTRO DA OBRA,41.51,M3
10.20.05,"ATERRO, INCLUSIVE COMPACTAÇÃO",24.9,M3
10.21.00,"CARGA MECANIZADA E REMOÇÃO DE TERRA, INCLUSIVE TRANSPORTE ATÉ 1KM",7.3,M3
10.21.01,"CARGA MANUAL E REMOÇÃO DE TERRA, INCLUSIVE TRANSPORTE ATÉ 1 KM",24.63,M3
10.30.01,CORTE E ESPALHAMENTO DENTRO DA OBRA,9.41,M3
10.30.02,CORTE E ATERRO COMPACTADO,10.74,M3
10.30.03,"CORTE E CARREGAMENTO PARA BOTA-FORA, INCLUSIVE TRANSPORTE ATÉ 1KM",12.64,M3
10.30.05,"FORNECIMENTO DE TERRA, INCLUSIVE CORTE, CARGA, DESCARGA E TRANSPORTE ATÉ 1KM",14.86,M3
10.30.06,"ATERRO, INCLUSIVE COMPACTAÇÃO",4.03,M3
10.31.00,"TRANSPORTE DE TERRA POR CAMINHÃO BASCULANTE, A PARTIR DE 1KM",1.21,M3XKM
10.40.01,"ESCAVAÇÃO MANUAL,  PROFUNDIDADE IGUAL OU INFERIOR A 1,50M",49.81,M3
10.40.02,"ESCAVAÇÃO MANUAL,  PROFUNDIDADE SUPERIOR A 1,50M",58.11,M3
10.40.05,"ESCORAMENTO DE VALAS, CONTINUO",65.31,M2
10.40.06,"ESCORAMENTO DE VALAS, DESCONTINUO",40.14,M2
10.41.00,"APILOAMENTO DO FUNDO DE VALAS, PARA SIMPLES REGULARIZAÇÃO",4.15,M2
10.41.04,LASTRO DE AGREGADO RECICLADO,84.4,M3
10.41.05,LASTRO DE BRITA,118.03,M3
10.41.06,"LASTRO DE CONCRETO, 150KG CIM/M3",314.2,M3
10.41.07,"LASTRO DE CONCRETO COM AGREGADO RECICLADO, 150 KG CIM/M3",286.79,M3
10.42.00,"TUBO DE PEAD CORRUGADO E PERFURADOPARA DRENAGEM - DIÂMETRO 2,5"" (EM ACORDO COM AS NORMAS DNIT 093/06, NBR 15073 E NBR 14692)",17.36,M
10.42.01,"TUBO DE PEAD CORRUGADO E PERFURADOPARA DRENAGEM - DIÂMETRO 3,0"" (EM ACORDO COM AS NORMAS DNIT 093/06, NBR 15073 E NBR 14692)",19.32,M
10.42.02,"TUBO DE PEAD CORRUGADO E PERFURADOPARA DRENAGEM - DIÂMETRO 4,0"" (EM ACORDO COM AS NORMAS DNIT 093/06, NBR 15073 E NBR 14692)",22.23,M
10.42.03,"TUBO DE PEAD CORRUGADO E PERFURADOPARA DRENAGEM - DIÂMETRO 6,0"" (EM ACORDO COM AS NORMAS DNIT 093/06, NBR 15073 E NBR 14692)",39.85,M
10.42.06,"TUBO PVC PERFURADO PARA DRENAGEM - DIÂMETRO 4"" (100MM)",28.68,M
10.42.07,"TUBO PVC PERFURADO PARA DRENAGEM - DIÂMETRO 6"" (150MM)",53.02,M
10.43.00,TUBO DE CONCRETO - DIÂMETRO DE 30CM,34.84,M
10.43.01,TUBO DE CONCRETO - DIÂMETRO DE 40CM,49.63,M
10.43.02,TUBO DE CONCRETO - DIÂMETRO DE 50CM,69.58,M
10.43.03,TUBO DE CONCRETO - DIÂMETRO DE 60CM,85.61,M
10.43.05,TUBO DE CONCRETO - DIÂMETRO DE 80CM,187.57,M
10.43.07,TUBO DE CONCRETO - DIÂMETRO DE 100CM,263.09,M
10.43.09,TUBO DE CONCRETO - DIÂMETRO DE 120CM,415.6,M
10.44.08,CAIXA DE LIGAÇÃO OU INSPEÇÃO - ESCAVAÇÃO E APILOAMENTO,44.83,M3
10.44.09,CAIXA DE LIGAÇÃO OU INSPEÇÃO - LASTRO DE CONCRETO (FUNDO),336.7,M3
10.45.00,"CAIXA DE LIGAÇÃO OU INSPEÇÃO - ALVENARIA DE 1/2 TIJOLO, REVESTIDA",180.79,M2
10.45.01,"CAIXA DE LIGAÇÃO OU INSPEÇÃO - ALVENARIA DE 1 TIJOLO, REVESTIDA",250.62,M2
10.45.02,CAIXA DE LIGAÇÃO OU INSPEÇÃO - TAMPA DE CONCRETO,165.03,M2
10.47.00,ENVOLVIMENTO DE TUBOS COM BRITA,126.33,M3
10.47.01,ENVOLVIMENTO DE TUBOS COM AREIA,146.42,M3
10.47.05,MANTA GEOTÊXTIL,5.17,M2
10.47.06,FORNECIMENTO E APLICAÇÃO DE GEOMEMBRANA DE PEAD - 1MM DE ESPESSURA,23.2,M2
10.47.07,FORNECIMENTO E APLICAÇÃO DE MANTA FORMADA PELA ASSOCIAÇÃO DE UM TECIDO TÉCNICO DE POLIESTER COM UM FILME DE POLIETILENO DE BAIXA DENSIDADE EM ACORDO COM A NBR 12824,17.21,M2
10.47.08,"FORNECIMENTO E APLICAÇÃO DE GEOCOMPOSTO FORMADO POR NÚCLEO TRIDIMENSIONAL, FLEXÍVEL DE FILAMENTO DE POLIPROPILENO, ASSOCIADO ÀS SUAS DUAS SUPERFÍCIES GEOTEXTEIS NÃO TECIDOS",24.51,M2
10.48.00,"REATERRO DE VALAS, INCLUSIVE COMPACTAÇÃO",9.97,M3
10.50.01,TAPUME CHAPA COMPENSADA 6MM,47.34,M2
10.50.02,TAPUME CHAPA COMPENSADA RESINADA 10MM,51.5,M2
10.50.05,"TAPUME METÁLICO COM TELHA METÁLICA, SEM PINTURA, TRAPEZOIDAL 40 ESP=0,43MM, COLUNAS, BASES E PARAFUSOS",113.11,M2
10.50.06,"PORTÃO METÁLICO DE OBRA - 5M, PIVOTANTE, 2 FOLHAS, PARA TAPUME",181.86,M2
10.50.07,"PORTÃO DE PEDESTRES - 1,15M, PARA TAPUME",169.19,M2
10.54.00,"TELA PARA PROTEÇÃO DE OBRAS, MALHA 2 MM",20.06,M2
20.10.01,BROCA DE CONCRETO - DIÂMETRO DE 20CM,39.29,M
20.10.02,BROCA DE CONCRETO - DIÂMETRO DE 25CM,59.44,M
20.10.03,BROCA DE CONCRETO - DIÂMETRO DE 30CM,88.51,M
20.10.05,"ESTACA DE CONCRETO MOLDADA NO LOCAL, TIPO ""STRAUSS"" - ATÉ 20T",44.71,M
20.10.06,"ESTACA DE CONCRETO MOLDADA NO LOCAL, TIPO ""STRAUSS"" - ATÉ 30T",56.78,M
20.10.07,"ESTACA DE CONCRETO MOLDADA NO LOCAL, TIPO ""STRAUSS"" - ATÉ 40T",72.51,M
20.10.08,"ESTACA DE CONCRETO MOLDADA NO LOCAL, TIPO ""STRAUSS"" - ATÉ 60T",96.36,M
20.12.00,"TUBULÃO - ESCAVAÇÃO A CÉU ABERTO, COM PÁ E PICARETA",373.55,M3
20.13.04,TUBULÃO A CÉU ABERTO FCK=20 MPA,497.35,M3
20.13.08,ESTACA DE CONCRETO PRÉ-MOLDADA COM CARGA ADMISSÍVEL PARA ESTRUTURA DE 20 T,67.03,M
20.13.09,ESTACA DE CONCRETO PRÉ-MOLDADA COM CARGA ADMISSÍVEL PARA ESTRUTURA DE 30 T,87.96,M
20.14.00,ESTACA DE CONCRETO PRÉ-MOLDADA COM CARGA ADMISSÍVEL PARA ESTRUTURA DE 40 T,101.75,M
20.14.01,ESTACA DE CONCRETO PRÉ-MOLDADA COM CARGA ADMISSÍVEL PARA ESTRUTURA DE 60 T,144.87,M
20.14.02,ESTACA DE CONCRETO PRÉ-MOLDADA COM CARGA ADMISSÍVEL PARA ESTRUTURA DE 70 T,177.84,M
20.14.03,EMENDA DE ESTACA DE CONCRETO PRÉ-MOLDADA - DIÂMETRO 17 CM - 20 T,29.62,UN
20.14.04,EMENDA DE ESTACA DE CONCRETO PRÉ-MOLDADA - DIÂMETRO 20 CM - 30 T,31.71,UN
20.14.05,EMENDA DE ESTACA DE CONCRETO PRÉ-MOLDADA - DIÂMETRO 23 CM - 40 T,45.59,UN
20.14.06,EMENDA DE ESTACA DE CONCRETO PRÉ-MOLDADA - DIÂMETRO 28 CM - 60 T,39.88,UN
20.14.07,EMENDA DE ESTACA DE CONCRETO PRÉ-MOLDADA - DIÂMETRO 33 CM - 70 T,44.46,UN
20.14.08,CORTE E REPARO DE CABEÇA DE ESTACA,46.58,UN
20.15.01,ESTACAS ESCAVADAS MECANICAMENTE - DIÂMETRO DE 25CM,26.45,M
20.15.02,ESTACAS ESCAVADAS MECANICAMENTE - DIÂMETRO DE 30CM,34.01,M
20.15.03,ESTACAS ESCAVADAS MECANICAMENTE - DIÂMETRO DE 35CM,43.02,M
20.15.05,ESTACAS ESCAVADAS MECANICAMENTE - DIÂMETRO DE 40CM,57.08,M
20.15.06,ESTACAS ESCAVADAS MECANICAMENTE - DIÂMETRO DE 80CM,192.67,M
20.16.00,ESTACA RAIZ DIÂMETRO DE 160MM PARA ATÉ 35 TF,223.52,M
20.16.01,ESTACA RAIZ DIÂMETRO DE 200MM PARA ATÉ 50 TF,257.04,M
20.16.02,ESTACA RAIZ DIÂMETRO DE 250MM PARA ATÉ 80 TF,295.62,M
20.16.03,ESTACA RAIZ DIÂMETRO DE 310MM PARA ATÉ 100 TF,353.22,M
20.16.04,EXECUÇÃO DE ESTACA RAIZ DIÂMETRO DE 160MM PARA ATÉ 35TF (EXCLUSIVE MATERIAIS),157.1,M
