I7501,"10 SLOTS CHASSIS MODULAR HARDWARE STYLE , MOD. 1746-A10AB",1537.41,UN
I7447,"5/03 RS-232 ROGRAMMER CABLE 3m, MOD. 1747-CP3 AB",67.26,UN
I8222,ABÓBADA DE POLICARBONATO TRANSPARENTE,597.48,M2
I6472,"ABRAÇADEIRA PARA POSTE DE CONCRETO DUPLO ""T""",6.01,UN
I6700,"ABRAÇADEIRAS EM FERRO BARRA CHATA 1/4"" PINTURA EPOXI C/PARAFUSOS",36.4,UN
I0003,ABRIGO P/ HIDRANTE 60 X 90 X 17CM,296.67,UN
I0004,ABRIGO PRÉ-MOLDADO CONCRETO (FORNECIMENTO/ASSENTAMENTO),4685.0,UN
I7443,"AC INPUT MODULE FOR PLC, MOD. 1746-IA16 AB WITH16 CHANNELS",916.71,UN
I8560,ACELERADOR DE COBALTO 6%,57.6,L
I7438,ACESSÓRIOS DE BAIXA TENSÃO,357.45,CJ
I7428,ACESSÓRIOS DE MÉDIA TENSÃO,3717.53,CJ
I8198,ACESSÓRIOS P/ TRILHO -100,6.79,KG
I8258,"ACESSÓRIOS PARA UNIDADE DE PESAGEM (FAROL LUMINOSO, SENSORES DE POSIÇÃO, SOFTWARE DE CONFIGURAÇÃO, CABOS, ETC)",21963.05,CJ
I7469,ACETILENO,37.74,KG
I0154,ÁCIDO MURIÁTICO,3.12,L
I0005,"ACIONAD.MANUAL, TIPO QUEBRE O VIDRO, MOD. EUROTRON",35.37,UN
I0157,AÇO CA-25,4.06,KG
I0163,AÇO CA-50,3.96,KG
I7952,AÇO CA-50/60,4.05,KG
I0169,AÇO CA-60,4.14,KG
I0006,ADAPTADOR - 65X65MM (2 1/2X2 1/2''),60.87,UN
I2898,"ADAPTADOR PARA POLIETILENO 20 x 1/2""",2.41,UN
I2899,"ADAPTADOR PARA POLIETILENO 20 x 3/4""",2.49,UN
I2900,"ADAPTADOR PARA POLIETILENO 32 x 1""",4.61,UN
I3082,ADAPTADOR PBA  PONTA / ROSCA DN 75,20.06,UN
I3085,ADAPTADOR PBA / BOLSA DEFoFo JE DN 100,55.34,UN
I3083,ADAPTADOR PBA / BOLSA DEFoFo JE DN 50,14.6,UN
I3084,ADAPTADOR PBA / BOLSA DEFoFo JE DN 75,32.39,UN
I3088,ADAPTADOR PBA / LUVA DE FIBROCIMENTO DN 100,38.33,UN
I3086,ADAPTADOR PBA / LUVA DE FIBROCIMENTO DN 50,28.5,UN
I3087,ADAPTADOR PBA / LUVA DE FIBROCIMENTO DN 75,43.0,UN
I3078,ADAPTADOR PBA BOLSA / ROSCA DN 50,9.7,UN
I3079,ADAPTADOR PBA BOLSA / ROSCA DN 75,26.0,UN
I3080,ADAPTADOR PBA BOLSA/ ROSCA DN 100,40.0,UN
I3081,ADAPTADOR PBA PONTA / ROSCA DN 50,9.47,UN
I6846,ADAPTADOR PBS BOLSA ROSCA 150mm x 6,110.32,UN
I0007,ADAPTADOR PVC P/SIFÃO 1 1/4''X40MM,1.6,UN
I6722,"ADAPTADOR PVC REGISTRO 25MM (3/4"")",1.0,UN
I6723,"ADAPTADOR PVC REGISTRO 32MM (1"")",1.58,UN
I6724,"ADAPTADOR PVC REGISTRO 40MM (1 1/4"")",3.05,UN
I6725,"ADAPTADOR PVC REGISTRO 50MM (1 1/2"")",3.51,UN
I6726,"ADAPTADOR PVC REGISTRO 60MM (2"")",9.24,UN
I0008,ADAPTADOR PVC REGISTRO 75MM (2 1/2''),14.8,UN
I0009,ADAPTADOR PVC REGISTRO 85MM (3''),24.0,UN
I0010,ADAPTADOR PVC SOLD. FLANGES LIVRES P/CX. D'ÁGUA 110MM,246.63,UN
I0011,ADAPTADOR PVC SOLD. FLANGES LIVRES P/CX. D'ÁGUA 20MM,8.8,UN
I0012,ADAPTADOR PVC SOLD. FLANGES LIVRES P/CX. D'ÁGUA 25MM,10.93,UN
I0013,ADAPTADOR PVC SOLD. FLANGES LIVRES P/CX. D'ÁGUA 32MM,14.7,UN
I0014,ADAPTADOR PVC SOLD. FLANGES LIVRES P/CX. D'ÁGUA 40MM,22.0,UN
I0015,ADAPTADOR PVC SOLD. FLANGES LIVRES P/CX. D'ÁGUA 50MM,24.49,UN
I0016,ADAPTADOR PVC SOLD. FLANGES LIVRES P/CX. D'ÁGUA 60MM,36.32,UN
I0017,ADAPTADOR PVC SOLD. FLANGES LIVRES P/CX. D'ÁGUA 75MM,132.9,UN
I0018,ADAPTADOR PVC SOLD. FLANGES LIVRES P/CX. D'ÁGUA 85MM,200.0,UN
I0019,"ADAPTADOR PVC SOLDAVEL CURTO LR P/REG. 25x3/4""",1.0,UN
I6267,"ADAPTADOR SOLDÁVEL BOLSA/ROSCA DN 60mmX2""",5.6,UN
I0020,"ADAPTADOR SOLDAVEL C/FLANGE P/CX D'ÁGUA 32x1""",14.41,UN
I8367,"ADAPTER CABLE, CAT. ""6"" DE 2,50m",9.53,UN
I0021,ADESIVO 90ML,3.6,UN
I0022,ADESIVO A BASE ASF.E ELAST.EMULS.P/ ADER.MANTAS,8.09,KG
I0023,ADESIVO AUTO VULCANIZANTE,26.87,L
I0024,ADESIVO DE CONTATO,8.6,KG
I0025,ADESIVO HIDRO-ASFALTICO,3.84,L
I0026,ADESIVO PARA TUBO DE PVC RIGIDO,38.25,KG
I0027,ADITIVO EXPANSOR,12.1,L
I0028,ADITIVO HIDROFUGO,3.83,KG
I8423,ADITIVO LÍQUIDO CONTROLADOR DE RUPTURA,4.32,KG
I6801,ADITIVO PLASTIFICANTE DENSIFICADOR E RETARDADOR DE PEGA,5.31,KG
I0029,ADITIVO PLASTIMENT BV-40,4.85,L
I0030,ADUBO MINERAL (10-10-10NPK),3.0,KG
I0031,ADUBO ORGANICO CURTIDO (ESTERCO),142.0,M3
I6310,"AERADOR DE BANDEJAS EM FYBERGLASS CAPACIDADE DE 11,1 à 19,0 l/s",66944.24,UN
I6311,"AERADOR DE BANDEJAS EM FYBERGLASS CAPACIDADE DE 19,1 à 32,0 l/s",88877.69,UN
I6312,"AERADOR DE BANDEJAS EM FYBERGLASS CAPACIDADE DE 32,1 à 50,0 l/s",110780.09,UN
I6309,"AERADOR DE BANDEJAS EM FYBERGLASS CAPACIDADE DE 5,1 à 11,0 l/s",56741.84,UN
I6313,"AERADOR DE BANDEJAS EM FYBERGLASS CAPACIDADE DE 50,10 à 72,0 l/s",133793.0,UN
I6308,"AERADOR DE BANDEJAS EM FYBERGLASS CAPACIDADE DE ATÉ 5,0 l/s",36268.66,UN
I0032,AFASTADOR FIBROCIMENTO (CANALETE 90),3.98,UN
I0033,AGLUTINANTE ORGANO-SINTETICO,9.18,L
